rel_path,lang,risk_score,code_lines,comment_lines,comment_ratio,branch_tokens,max_func_len,max_nest
OrangePi_STM32_for_ROV\comm_gcs\tests\test_session.cpp,cpp,1721,251,25,0.0906,20,82,2
OrangePi_STM32_for_ROV\orangepi_send\CMakeLists.txt,cmake,139,67,0,0.0,9,0,0
OrangePi_STM32_for_ROV\orangepi_send\include\crc16_ccitt.h,cpp,130,29,5,0.1471,2,3,1
OrangePi_STM32_for_ROV\orangepi_send\include\libpwm_host.h,cpp,126,46,152,0.7677,10,0,0
OrangePi_STM32_for_ROV\orangepi_send\include\protocol_pack.h,cpp,50,18,5,0.2174,4,0,0
OrangePi_STM32_for_ROV\orangepi_send\include\protocol_pack.hpp,cpp,168,23,0,0.0,0,7,1
OrangePi_STM32_for_ROV\orangepi_send\include\PwmFrameBuilder.h,cpp,469,78,105,0.5738,7,17,2
OrangePi_STM32_for_ROV\orangepi_send\include\pwm_control.h,cpp,225,54,281,0.8388,7,5,1
OrangePi_STM32_for_ROV\orangepi_send\include\UdpSender.h,cpp,61,37,29,0.4394,3,0,0
OrangePi_STM32_for_ROV\orangepi_send\src\crc16_ccitt.cpp,cpp,272,49,2,0.0392,1,9,2
OrangePi_STM32_for_ROV\orangepi_send\src\libpwm_host.c,cpp,2194,372,61,0.1409,84,66,4
OrangePi_STM32_for_ROV\orangepi_send\src\main.cpp,cpp,2581,174,19,0.0984,19,137,5
OrangePi_STM32_for_ROV\orangepi_send\src\protocol_pack.c,cpp,708,73,7,0.0875,10,29,3
OrangePi_STM32_for_ROV\orangepi_send\src\PwmFrameBuilder.cpp,cpp,1147,192,21,0.0986,25,45,2
OrangePi_STM32_for_ROV\orangepi_send\src\pwm_control.c,cpp,2349,388,115,0.2286,92,71,4
OrangePi_STM32_for_ROV\orangepi_send\src\UdpSender.cpp,cpp,1533,239,14,0.0553,38,58,3
OrangePi_STM32_for_ROV\proto_gcs\CMakeLists.txt,cmake,32,16,0,0.0,2,0,0
OrangePi_STM32_for_ROV\proto_gcs\include\proto_gcs\gcs_protocol.hpp,cpp,730,164,35,0.1759,27,18,2
OrangePi_STM32_for_ROV\proto_gcs\src\crc32c.cpp,cpp,605,29,1,0.0333,7,24,4
OrangePi_STM32_for_ROV\pwm_control_program\CMakeLists.txt,cmake,797,213,0,0.0,48,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\controllers\controller_base.hpp,cpp,76,20,38,0.6552,7,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\controllers\controller_manager.hpp,cpp,382,116,15,0.1145,17,6,1
OrangePi_STM32_for_ROV\pwm_control_program\include\controllers\manual_controller.hpp,cpp,246,50,8,0.1379,12,4,1
OrangePi_STM32_for_ROV\pwm_control_program\include\controllers\pid_controller.hpp,cpp,128,48,48,0.5,10,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\control_core\app_main.hpp,cpp,52,29,106,0.7852,1,1,0
OrangePi_STM32_for_ROV\pwm_control_program\include\control_core\control_guard.hpp,cpp,192,66,14,0.175,12,2,0
OrangePi_STM32_for_ROV\pwm_control_program\include\control_core\control_intent.hpp,cpp,487,55,32,0.3678,4,24,1
OrangePi_STM32_for_ROV\pwm_control_program\include\control_core\control_loop.hpp,cpp,208,90,22,0.1964,11,2,0
OrangePi_STM32_for_ROV\pwm_control_program\include\control_core\control_mode.hpp,cpp,751,89,33,0.2705,24,26,2
OrangePi_STM32_for_ROV\pwm_control_program\include\control_core\control_types.hpp,cpp,101,93,32,0.256,1,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\control_core\mode.hpp,cpp,108,46,38,0.4524,4,2,0
OrangePi_STM32_for_ROV\pwm_control_program\include\control_core\thruster_allocation.hpp,cpp,111,56,87,0.6084,5,1,0
OrangePi_STM32_for_ROV\pwm_control_program\include\control_core\trajectory_tracking.hpp,cpp,122,75,124,0.6231,4,1,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\control_intent.hpp,cpp,25,9,10,0.5263,2,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\control_mode.hpp,cpp,24,8,0,0.0,2,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\gcs\gcs_link_udp.hpp,cpp,140,70,36,0.3396,5,2,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\gcs\gcs_protocol.hpp,cpp,21,5,2,0.2857,2,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\gcs\gcs_session.hpp,cpp,279,84,14,0.1429,10,5,1
OrangePi_STM32_for_ROV\pwm_control_program\include\io\gcs\gcs_telemetry_adapter.hpp,cpp,68,44,0,0.0,3,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\gcs\telemetry_frame.hpp,cpp,528,53,16,0.2319,10,21,2
OrangePi_STM32_for_ROV\pwm_control_program\include\io\input\gcs_input_adapter.hpp,cpp,132,92,31,0.252,5,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\input\gcs_input_provider.hpp,cpp,218,55,6,0.0984,6,5,1
OrangePi_STM32_for_ROV\pwm_control_program\include\io\input\input_provider.hpp,cpp,531,36,40,0.5263,5,25,2
OrangePi_STM32_for_ROV\pwm_control_program\include\io\input\intent_sink.hpp,cpp,27,11,0,0.0,2,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\input\multi_input_provider.hpp,cpp,58,34,1,0.0286,3,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\input\teleop_input.hpp,cpp,66,34,11,0.2444,4,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\log\pwm_logger.hpp,cpp,92,36,0,0.0,7,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\nav\nav_state_source.hpp,cpp,46,14,0,0.0,4,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\nav\nav_state_source_shm.hpp,cpp,55,23,0,0.0,4,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\nav\nav_state_subscriber.hpp,cpp,220,47,60,0.5607,11,3,1
OrangePi_STM32_for_ROV\pwm_control_program\include\io\nav\nav_state_view.hpp,cpp,46,22,3,0.12,3,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\io\teleop\teleop_keyboard.h,cpp,81,33,172,0.839,6,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\platform\pwm_client.hpp,cpp,123,52,132,0.7174,7,1,0
OrangePi_STM32_for_ROV\pwm_control_program\include\platform\timebase.hpp,cpp,121,41,47,0.5341,10,0,0
OrangePi_STM32_for_ROV\pwm_control_program\include\utils\config_loader.hpp,cpp,63,47,121,0.7202,2,0,0
OrangePi_STM32_for_ROV\pwm_control_program\src\main.cpp,cpp,648,51,8,0.1356,9,27,3
OrangePi_STM32_for_ROV\pwm_control_program\src\controllers\controller_manager.cpp,cpp,2057,277,51,0.1555,90,60,4
OrangePi_STM32_for_ROV\pwm_control_program\src\controllers\manual_controller.cpp,cpp,3014,59,141,0.705,5,189,2
OrangePi_STM32_for_ROV\pwm_control_program\src\controllers\pid_controller.cpp,cpp,434,44,2,0.0435,5,18,2
OrangePi_STM32_for_ROV\pwm_control_program\src\control_core\app_main.cpp,cpp,4016,304,7,0.0225,59,192,4
OrangePi_STM32_for_ROV\pwm_control_program\src\control_core\control_guard.cpp,cpp,1951,142,39,0.2155,28,95,4
OrangePi_STM32_for_ROV\pwm_control_program\src\control_core\control_loop.cpp,cpp,4717,335,61,0.154,54,250,5
OrangePi_STM32_for_ROV\pwm_control_program\src\control_core\thruster_allocation.cpp,cpp,2738,310,44,0.1243,66,116,4
OrangePi_STM32_for_ROV\pwm_control_program\src\control_core\trajectory_tracking.cpp,cpp,1115,161,17,0.0955,8,54,2
OrangePi_STM32_for_ROV\pwm_control_program\src\io\gcs\gcs_link_udp.cpp,cpp,1195,170,2,0.0116,20,47,4
OrangePi_STM32_for_ROV\pwm_control_program\src\io\gcs\gcs_session.cpp,cpp,809,156,21,0.1186,16,27,3
OrangePi_STM32_for_ROV\pwm_control_program\src\io\gcs\gcs_telemetry_adapter.cpp,cpp,538,45,0,0.0,6,27,1
OrangePi_STM32_for_ROV\pwm_control_program\src\io\input\gcs_input_adapter.cpp,cpp,2509,320,26,0.0751,58,107,3
OrangePi_STM32_for_ROV\pwm_control_program\src\io\input\gcs_input_provider.cpp,cpp,1500,131,16,0.1088,8,79,3
OrangePi_STM32_for_ROV\pwm_control_program\src\io\input\multi_input_provider.cpp,cpp,1361,95,2,0.0206,17,70,2
OrangePi_STM32_for_ROV\pwm_control_program\src\io\input\telemetry_frame.cpp,cpp,0,0,0,0.0,0,0,0
OrangePi_STM32_for_ROV\pwm_control_program\src\io\input\teleop_input.cpp,cpp,1855,178,23,0.1144,39,83,3
OrangePi_STM32_for_ROV\pwm_control_program\src\io\log\pwm_logger.cpp,cpp,797,119,1,0.0083,26,26,2
OrangePi_STM32_for_ROV\pwm_control_program\src\io\nav\nav_state_source_shm.cpp,cpp,698,53,4,0.0702,5,35,2
OrangePi_STM32_for_ROV\pwm_control_program\src\io\nav\nav_state_subscriber.cpp,cpp,1461,168,9,0.0508,26,67,2
OrangePi_STM32_for_ROV\pwm_control_program\src\io\teleop\teleop_keyboard.cpp,cpp,1443,188,39,0.1718,25,65,2
OrangePi_STM32_for_ROV\pwm_control_program\src\platform\pwm_client.cpp,cpp,1554,235,50,0.1754,28,65,3
OrangePi_STM32_for_ROV\pwm_control_program\src\platform\timebase.cpp,cpp,656,51,15,0.2273,15,27,2
OrangePi_STM32_for_ROV\pwm_control_program\src\utils\config_loader.cpp,cpp,4123,559,41,0.0683,98,172,5
shared\CMakeLists.txt,cmake,11,11,0,0.0,0,0,0
shared\msg\nav_state.hpp,cpp,221,64,34,0.3469,9,3,1
tools\project_size_report.py,python,2614,183,41,0.183,42,121,7
tools\quality\audit.py,python,1893,97,10,0.0935,7,108,3
tools\quality\cmake_audit.py,python,0,0,0,0.0,0,0,0
tools\quality\common.py,python,339,115,4,0.0336,28,0,0
tools\quality\deps_includes.py,python,1220,70,16,0.186,20,50,6
tools\quality\git_hotspots.py,python,85,29,5,0.1471,7,0,0
tools\quality\metrics_complexity.py,python,351,135,16,0.106,27,0,0
tools\quality\metrics_loc.py,python,315,107,17,0.1371,26,0,0
tools\quality\report_md.py,python,191,79,2,0.0247,14,0,0
tools\quality\risk_scan.py,python,143,71,2,0.0274,9,0,0
tools\quality\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\git_auto.py,python,1113,52,20,0.2778,7,51,6
Underwater-robot-navigation\apps\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\apps\acquire\DVL_logger.py,python,2091,197,41,0.1723,23,98,6
Underwater-robot-navigation\apps\acquire\imu_logger.py,python,1338,160,52,0.2453,16,54,6
Underwater-robot-navigation\apps\acquire\Volt32_logger.py,python,1878,288,48,0.1429,50,66,5
Underwater-robot-navigation\apps\tools\dvl_data_verifier.py,python,1993,215,34,0.1365,31,94,3
Underwater-robot-navigation\apps\tools\imu_baud_switch.py,python,1126,82,12,0.1277,13,52,4
Underwater-robot-navigation\apps\tools\imu_data_verifier.py,python,1219,298,48,0.1387,37,31,4
Underwater-robot-navigation\apps\tools\imu_xy_zero.py,python,636,37,7,0.1591,3,33,2
Underwater-robot-navigation\apps\tools\multisensor_postproc.py,python,1882,203,77,0.275,33,81,5
Underwater-robot-navigation\apps\tools\tmux_telemetry_manager.py,python,2541,229,39,0.1455,44,120,4
Underwater-robot-navigation\apps\tools\volt32_data_verifier.py,python,1495,225,27,0.1071,40,50,5
Underwater-robot-navigation\nav_core\CMakeLists.txt,cmake,300,108,0,0.0,24,0,0
Underwater-robot-navigation\nav_core\include\nav_core\bin_logger.hpp,cpp,193,37,30,0.4478,7,4,1
Underwater-robot-navigation\nav_core\include\nav_core\dvl_driver.hpp,cpp,130,82,58,0.4143,6,0,0
Underwater-robot-navigation\nav_core\include\nav_core\eskf.hpp,cpp,66,51,45,0.4688,0,1,0
Underwater-robot-navigation\nav_core\include\nav_core\imu_driver_wit.hpp,cpp,63,63,49,0.4375,0,0,0
Underwater-robot-navigation\nav_core\include\nav_core\imu_rt_filter.hpp,cpp,52,52,45,0.4639,0,0,0
Underwater-robot-navigation\nav_core\include\nav_core\logging.hpp,cpp,117,17,1,0.0556,0,4,1
Underwater-robot-navigation\nav_core\include\nav_core\log_packets.hpp,cpp,46,46,12,0.2069,0,0,0
Underwater-robot-navigation\nav_core\include\nav_core\nav_state_publisher.hpp,cpp,158,56,6,0.0968,9,2,0
Underwater-robot-navigation\nav_core\include\nav_core\status.hpp,cpp,55,25,1,0.0385,0,2,0
Underwater-robot-navigation\nav_core\include\nav_core\timebase.hpp,cpp,46,46,24,0.3429,0,0,0
Underwater-robot-navigation\nav_core\include\nav_core\types.hpp,cpp,65,65,64,0.4961,0,0,0
Underwater-robot-navigation\nav_core\src\bin_logger.cpp,cpp,1146,173,29,0.1436,36,35,4
Underwater-robot-navigation\nav_core\src\dvl_driver.cpp,cpp,3805,471,123,0.2071,83,162,6
Underwater-robot-navigation\nav_core\src\eskf.cpp,cpp,1639,222,119,0.349,19,79,2
Underwater-robot-navigation\nav_core\src\imu_driver_wit.cpp,cpp,2828,384,97,0.2017,63,116,5
Underwater-robot-navigation\nav_core\src\imu_rt_filter.cpp,cpp,2566,187,94,0.3345,23,133,5
Underwater-robot-navigation\nav_core\src\nav_daemon.cpp,cpp,5789,377,58,0.1333,44,324,5
Underwater-robot-navigation\nav_core\src\nav_state_publisher.cpp,cpp,1535,183,25,0.1202,24,72,2
Underwater-robot-navigation\nav_core\src\timebase.cpp,cpp,553,43,48,0.5275,5,26,2
Underwater-robot-navigation\tools\project_size_report.py,python,2614,183,41,0.183,42,121,7
Underwater-robot-navigation\uwnav\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\drivers\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\drivers\dvl\hover_h1000\command.py,python,210,58,12,0.1714,19,0,0
Underwater-robot-navigation\uwnav\drivers\dvl\hover_h1000\io.py,python,2213,340,54,0.1371,66,71,7
Underwater-robot-navigation\uwnav\drivers\dvl\hover_h1000\protocol.py,python,567,223,60,0.212,43,0,0
Underwater-robot-navigation\uwnav\drivers\dvl\hover_h1000\serial_if.py,python,683,65,49,0.4298,11,22,5
Underwater-robot-navigation\uwnav\drivers\dvl\hover_h1000\tcp_if.py,python,729,80,58,0.4203,13,23,5
Underwater-robot-navigation\uwnav\drivers\dvl\hover_h1000\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\device_model.py,python,1373,238,85,0.2632,25,49,5
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\filters.py,python,1795,110,39,0.2617,15,91,5
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\imu_baud_switch.py,python,1141,82,12,0.1277,13,53,4
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\imu_xy_zero.py,python,636,37,7,0.1591,3,33,2
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\sensor1.py,python,1230,94,14,0.1296,7,64,3
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\serial_io_tools.py,python,1109,95,10,0.0952,18,42,6
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\test.py,python,341,8,10,0.5556,1,19,1
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\tool.py,python,553,37,27,0.4219,7,20,4
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\Python-WitProtocol(输出经纬度2)-1661322549826\chs\JY901S.py,python,743,29,119,0.8041,8,38,2
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\Python-WitProtocol(输出经纬度2)-1661322549826\chs\WT901C485.py,python,723,31,115,0.7877,9,36,2
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\Python-WitProtocol(输出经纬度2)-1661322549826\chs\lib\device_model.py,python,799,100,105,0.5122,18,21,6
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\Python-WitProtocol(输出经纬度2)-1661322549826\chs\lib\data_processor\interface\i_data_processor.py,python,112,12,6,0.3333,0,4,1
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\Python-WitProtocol(输出经纬度2)-1661322549826\chs\lib\data_processor\roles\jy901s_dataProcessor.py,python,174,11,4,0.2667,1,5,2
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\Python-WitProtocol(输出经纬度2)-1661322549826\chs\lib\protocol_resolver\interface\i_protocol_resolver.py,python,237,32,55,0.6322,0,11,1
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\Python-WitProtocol(输出经纬度2)-1661322549826\chs\lib\protocol_resolver\roles\protocol_485_resolver.py,python,1718,210,81,0.2784,31,68,6
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\Python-WitProtocol(输出经纬度2)-1661322549826\chs\lib\protocol_resolver\roles\wit_protocol_resolver.py,python,1605,220,114,0.3413,40,47,9
Underwater-robot-navigation\uwnav\drivers\imu\WitHighModbus\Python-WitProtocol(输出经纬度2)-1661322549826\chs\lib\utils\byte_array_converter.py,python,2,2,4,0.6667,0,0,0
Underwater-robot-navigation\uwnav\fusion\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\fusion\meas_models\dvl.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\fusion\meas_models\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\io\data_paths.py,python,21,13,15,0.5357,1,0,0
Underwater-robot-navigation\uwnav\io\timebase.py,python,98,66,73,0.5252,4,0,0
Underwater-robot-navigation\uwnav\io\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\nav\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\preprocess\__init__.py,python,0,0,0,0.0,0,0,0
Underwater-robot-navigation\uwnav\sensors\dvl_hover_h1000.py,python,696,91,9,0.09,15,19,5
Underwater-robot-navigation\uwnav\sensors\imu.py,python,964,199,55,0.2165,35,27,2
Underwater-robot-navigation\uwnav\sensors\__init__.py,python,0,0,0,0.0,0,0,0
UnderwaterRobotSystem\shared\CMakeLists.txt,cmake,11,11,0,0.0,0,0,0
UnderwaterRobotSystem\shared\msg\nav_state.hpp,cpp,221,64,34,0.3469,9,3,1
